customer_id,hotel_id,transaction_id,first_night,number_of_nights,total_spend,is_member
10,105,107184,42889,2,329,TRUE
11,101,777038,42822,1,245,FALSE
12,101,690560,42889,1,348,TRUE
13,101,836616,42822,2,121,FALSE
14,101,284112,42889,1,162,TRUE
15,101,880881,42822,0,176,FALSE
16,104,290133,42889,0,235,FALSE
17,100,673966,42822,0,203,FALSE
18,100,338773,42889,1,301,TRUE
19,100,278083,42822,0,337,TRUE
20,101,828487,42889,0,266,FALSE
1,100,898733,42822,1,318,FALSE
2,102,116916,42889,0,159,TRUE
3,100,655883,42822,1,249,FALSE
4,101,258436,42889,1,236,FALSE
5,100,361094,42822,0,136,FALSE
6,100,452733,42889,1,326,FALSE
7,101,479598,42822,1,220,FALSE
8,100,845390,42889,2,203,TRUE
9,100,533009,42822,0,152,FALSE
10,101,691576,42889,0,205,TRUE
11,106,858774,42822,0,128,FALSE
12,103,615620,42889,1,300,TRUE
13,101,578415,42822,0,227,FALSE
14,101,629507,42889,0,169,TRUE
15,100,241032,42822,1,188,FALSE
16,100,392132,42889,1,143,FALSE
17,100,340080,42822,1,126,FALSE
18,101,827163,42889,1,151,TRUE
19,105,149913,42822,1,252,TRUE
20,100,672758,42889,1,111,FALSE
1,106,379561,42822,1,250,FALSE
2,101,111400,42889,0,194,TRUE
3,105,291320,42822,0,279,FALSE
4,100,746969,42889,1,232,FALSE
5,101,213485,42822,0,247,FALSE
6,105,430987,42889,0,124,FALSE
7,100,683352,42822,0,345,FALSE
8,100,836683,42889,1,205,TRUE
9,100,667987,42822,1,121,FALSE
10,104,282346,42889,1,283,TRUE
11,106,716349,42822,1,166,FALSE
12,100,681997,42889,0,290,TRUE
13,100,323596,42822,0,233,FALSE
14,100,267894,42889,2,137,TRUE
15,100,923926,42822,1,237,FALSE
16,100,175269,42889,1,236,FALSE
17,100,545258,42822,2,104,FALSE
18,106,493035,42889,1,276,TRUE
19,101,741526,42822,0,323,TRUE
20,102,676396,42889,1,137,FALSE
1,106,486404,42822,1,338,FALSE
2,101,548142,42889,1,154,TRUE
3,105,446761,42822,0,264,FALSE
4,100,218387,42889,1,200,FALSE
5,102,522096,42822,0,232,FALSE
6,101,859107,42889,1,349,FALSE
7,101,215300,42822,1,287,FALSE
8,105,735474,42889,2,344,TRUE
9,101,304248,42822,0,218,FALSE
10,104,524101,42889,1,134,TRUE
11,101,487532,42822,1,260,FALSE
12,100,816034,42889,0,122,TRUE
13,100,241827,42822,1,305,FALSE
14,100,385157,42889,0,272,TRUE
15,101,624506,42822,0,212,FALSE
16,101,699484,42889,1,310,FALSE
17,101,890617,42822,2,341,FALSE
18,101,611001,42889,2,204,TRUE
19,101,436848,42822,1,209,TRUE
20,101,200083,42889,0,289,FALSE
1,101,190811,42822,1,338,FALSE
2,105,592292,42889,0,341,TRUE
3,100,997382,42822,0,154,FALSE
4,101,451204,42889,0,177,FALSE
5,100,216116,42822,1,217,FALSE
6,100,671978,42889,0,128,FALSE
7,100,597125,42822,2,189,FALSE
8,101,821187,42889,0,146,TRUE
9,100,895477,42822,1,183,FALSE
10,100,751969,42889,1,327,TRUE
11,101,475127,42822,0,152,FALSE
12,101,356260,42889,1,344,TRUE
13,100,437723,42822,2,345,FALSE
14,100,932631,42889,1,331,TRUE
15,102,145287,42822,0,286,FALSE
16,103,257274,42889,1,346,FALSE
17,101,530575,42822,0,337,FALSE
18,101,753835,42889,2,335,TRUE
19,101,657848,42822,1,175,TRUE
20,101,695179,42889,0,210,FALSE
1,100,798434,42822,0,275,FALSE
2,101,515346,42889,2,268,TRUE
3,101,169678,42822,1,260,FALSE
4,101,715148,42889,0,163,FALSE
5,100,188239,42822,0,256,FALSE
6,101,860338,42889,1,293,FALSE
7,105,155769,42822,0,132,FALSE
8,101,871163,42889,1,307,TRUE
9,101,309405,42822,0,298,FALSE
10,106,508606,42889,2,296,TRUE
11,100,274532,42822,1,248,FALSE
12,100,671675,42889,1,145,TRUE
13,101,182494,42822,1,109,FALSE
14,100,425799,42889,0,100,TRUE
15,100,101552,42822,1,130,FALSE
16,100,302546,42889,0,296,FALSE
17,101,451717,42822,1,289,FALSE
18,100,711528,42889,1,190,TRUE
19,101,870357,42822,1,160,TRUE
20,100,826030,42889,0,103,FALSE
